OBJECTID,Latitude,Longitude,Name,Address,City,Zip Code,Site Accepts SNAP EBT,x,y
1,34.0327374843039,-118.292515994172,ADAMS/VERMONT CERTIFIED FARMERS' MARKET,1432 W ADAMS BLVD,LOS ANGELES,90007,Y,6473043.16632597,1834423.1542649
2,34.0510200474351,-118.217274122829,ADVENTIST WHITE MEMORIAL FARMERS' MARKET,1700 E CESAR E CHAVEZ AVE,LOS ANGELES,90033,Y,6495854.46387914,1841018.71390839
3,34.2002755732756,-118.157950501981,ALTADENA CERTIFIED FARMERS' MARKET,600 W PALM ST,ALTADENA,91001,Y,6513909.89036664,1895301.9636094
4,34.0042638809509,-118.330814378296,AFRICAN VILLAGE COMMUNITY MARKETPLACE,3333 43RD PLACE,LOS ANGELES,90043,,6461405.36906356,1824097.07189873
5,34.1177566189269,-118.260040497767,ATWATER VILLAGE CERTIFIED FARMERS' MARKET,3528 LARGA AVE,LOS ANGELES,90039,Y,6482962.68585697,1865336.09407932
6,33.8844152086369,-118.123846592314,BELLFLOWER CERTIFIED FARMERS' MARKET,16521 ADENMOOR AVE,BELLFLOWER,90706,Y,6524080.46976297,1780339.66630347
7,34.0931000340329,-118.128127765227,ALHAMBRA CERTIFIED FARMERS' MARKET,100 S 2ND ST,ALHAMBRA,91801,Y,6522877.85208946,1856286.01900364
8,33.9685285933697,-118.144046918258,BELL GARDENS FARMERS' MARKET,6662 LOVELAND ST,BELLGARDENS,90201,Y,6517993.14237072,1810958.56208657
9,34.647048,-118.165605988545,ANTELOPE VALLEY WINERY  FARMERS' MARKET,42041 20TH ST W ,LANCASTER,93534,,6511862.92234772,2057895.55508822
10,34.0763133132376,-118.396106976585,BEVERLY HILLS CERTIFIED FARMERS' MARKET,9300 CIVIC CENTER DR,BEVERLY HILLS,90210,Y,6441719.56001006,1850388.6302079
11,33.7661322131399,-118.168080932743,BIXBY PARK CERTIFIED FARMERS' MARKET PROGRAM,130 CHERRY AVE,LONG BEACH,90802,,6510582.50889805,1737312.92689781
12,34.0506060276531,-118.475169585697,BRENTWOOD VILLAGE CERTIFIED FARMERS' MARKET,741 S GRETNA GREEN WAY,LOS ANGELES,90049,Y,6417733.42622389,1841137.12180807
13,33.785091,-118.10803797331,CAL STATE LONG BEACH CERTIFIED FARMERS' MARKET,1401 PALO VERDE AVE,LONG BEACH,90815,Y,6528839.84574288,1744187.50041898
14,34.0532728707078,-118.252782714034,BUNKER HILL CERTIFIED FARMERS' MARKET,333 S HOPE ST,LOS ANGELES,90012,,6485100.41452114,1841863.70729715
15,34.183224,-118.306269,BURBANK CERTIFIED FARMERS' MARKET,E OLIVE AVE AND N GLENOAKS BLVD,BURBANK,91502,Y,6469043.12314497,1889200.17528807
16,34.239213,-118.5277815,CAL STATE NORTHRIDGE FARMERS' MARKET,18111 NORDHOFF ST,NORTHRIDGE,91330,Y,6402156.91341372,1909853.24388997
17,34.0621087423687,-118.416818691183,CENTURY CITY CERTIFIED FARMERS' MARKET,10100 SANTA MONICA BLVD,CENTURY CITY,90067,Y,6435426.15100896,1845244.7212044
18,34.0957649763497,-117.716462350759,CLAREMONT FARMERS' AND ARTISANS' MARKET,207 HARVARD AVE,CLAREMONT,91711,Y,6647512.55196655,1857352.19567706
19,34.1575842297597,-118.63848657297,CALABASAS CERTIFIED FARMERS' MARKET,23504 CALABASAS RD,CALABASAS,91302,Y,6368509.81338522,1880341.7609183
20,33.8689202956986,-118.062848995248,CERRITOS CERTIFIED FARMERS' MARKET,17870 PARK PLAZA DR,CERRITOS,90703,Y,6542590.9124008,1774683.50077856
21,34.0893752956986,-117.89010281607,COVINA CERTIFIED FARMERS' MARKET,400 N CITRUS AVE,COVINA,91723,Y,6594944.75618371,1854923.98596656
22,33.8744102956986,-118.20868800919,COMPTON COLLEGE FARMERS' MARKET,1111 E ARTESIA BLVD,COMPTON,90221,Y,6498321.89956105,1776741.23911715
23,34.00551,-118.256518972964,CENTRAL AVENUE FARMERS' MARKET,4301 S CENTRAL AVE,LOS ANGELES,90011,Y,6483924.31615156,1824484.77223881
24,33.9416543136009,-118.134354584842,DOWNEY CERTIFIED FARMERS' MARKET,11102 LA REINA AVE,DOWNEY,90241,Y,6520918.93081047,1801174.36840039
25,34.024392,-118.3941585,CULVER CITY CERTIFIED FARMERS' MARKET,MAIN ST AND CULVER BLVD,CULVER CITY,90232,Y,6442235.51042172,1831491.27823889
26,34.0578463296822,-117.751319452475,DOWNTOWN POMONA CERTIFIED FARMERS' MARKET,201 W 2ND ST,POMONA,91766,,6636993.58284706,1843524.98087747
27,34.1430005372505,-117.977617727454,DUARTE CERTIFIED FARMERS' MARKET,819 BUENA VISTA ST,DUARTE,91010,Y,6568442.85183856,1874421.76980557
28,34.0113020670846,-118.336005581799,CRENSHAW CERTIFIED FARMERS' MARKET,3650 W MARTIN LUTHER KING JR BLVD,LOS ANGELES,90008,Y,6459840.55920105,1826663.61532205
29,34.066206,-118.1683485,EAST LOS ANGELES CERTIFIED FARMERS' MARKET @ CAL STATE LA,5151 STATE UNIVERSITY DR,LOS ANGELES,90032,Y,6510684.07431172,1846516.74031389
30,34.1017224751286,-118.3087845,EAST HOLLYWOOD CERTIFIED FARMERS' MARKET,5448 HOLLYWOOD BLVD,LOS ANGELES,90027,Y,6468191.23147605,1859542.74247706
31,33.92046,-118.415941517284,EL SEGUNDO CERTIFIED FARMERS' MARKET,350 MAIN ST,EL SEGUNDO,90245,,6435478.5163898,1793695.13696781
32,34.183827,-118.514403,ENCINO CERTIFIED FARMERS' MARKET,17400 VICTORY BLVD,VAN NUYS,91406,Y,6406097.16504763,1889676.57984707
33,34.07724,-118.258461,ECHO PARK CERTIFIED FARMERS' MARKET,LOGAN ST AND SUNSET BLVD,LOS ANGELES,90026,Y,6483402.84606589,1850590.1514584
34,33.848732158203,-118.133774746697,FARMERS' MARKETPLACE OF LAKEWOOD,4990 CLARK AVE,LAKEWOOD,90712,,6521049.79898706,1767357.59909181
35,34.0752044681859,-118.039026904694,EL MONTE FARMERS' MARKET,10800 MAIN STREET,EL MONTE,91631,Y,6549851.86638281,1849751.05503948
36,34.0334881576834,-118.160621779907,EAST LOS ANGELES CERTIFIED FARMERS' MARKET,4801 E 3RD ST,LOS ANGELES,90022,Y,6513005.17235981,1834606.26577531
37,34.1581577740781,-118.255157425385,GLENDALE GATEWAY CERTIFIED FARMERS' MARKET,801 N BRAND BLVD,GLENDALE,91210,,6484477.98630406,1880034.98134814
38,33.8105865378272,-118.135255865543,FARMERS' MARKETPLACE OF LONG BEACH,5000 E SPRING ST,LONG BEACH,90815,,6520581.37997639,1753476.02777365
39,33.8315585127829,-118.2920625,HARBOR UCLA MEDICAL CENTER FARMERS' MARKET,1000 W CARSON ST,TORRANCE,90502,,6472967.84068923,1761209.50410455
40,34.2735133298648,-118.33933381023,HEART OF THE CANYONS LAKEVIEW TERRACE FARMERS' MARKET,9666 FOOTHILL BLVD,LAKEVIEW TERRACE,91342,,6459154.04482606,1922090.02486256
41,34.0926705,-118.351762313356,HELEN ALBERT WEST HOLLYWOOD CERTIFIED FARMERS' MARKET,1200 N VISTA ST,WEST HOLLYWOOD,90046,Y,6455168.97143139,1856291.32870431
42,34.049421,-118.25991,FIGAT7TH LOS ANGELES CERTIFIED FARMERS' MARKET,S FIGUEROA AND W 7TH ST,LOS ANGELES,90017,Y,6482937.88210081,1840467.44663823
43,34.0472012548326,-118.234814783513,HERITAGE FARMER'S MARKET ARTS DISTRICT ,905 E 2ND ST ,LOS ANGELES,90012,Y,6490537.87411864,1839640.93319939
44,33.860151,-118.39428,HERMOSA BEACH CERTIFIED FARMERS' MARKET,VALLEY DR AND 8TH ST,HERMOSA BEACH,90254,,6441964.24521622,1771720.94305539
45,34.099776,-118.3281615,HOLLYWOOD CERTIFIED FARMERS' MARKET,IVAR AVE AND SELMA AVE,HOLLYWOOD,90028,Y,6462322.89085056,1858852.97285923
46,34.1677326719659,-118.659909348174,HIDDEN HILLS CERTIFIED FARMERS' MARKET,24549 LONG VALLEY ROAD,HIDDEN HILLS,91302,Y,6362053.14618047,1884076.7416373
47,33.9768578167814,-118.391141278723,HOWARD HUGHES/PLAYA DISTRICT CERTIFIED FARMERS' MARKET,6080 CENTER DR,LOS ANGELES,90045,Y,6443082.44704805,1814189.17406364
48,33.9722211725526,-118.205572387437,HUNTINGTON PARK CERTIFIED FARMERS' MARKET,3401 E FLORENCE AVE,HUNTINGTON PARK,90255,Y,6499340.4595318,1812334.81031831
49,34.0647211837955,-117.984589453863,KAISER PERMANENTE BALDWIN PARK CERTIFIED FARMERS' MARKET,1011 BALDWIN PARK BLVD,BALDWIN PARK,91706,Y,6566337.69102263,1845934.05151865
50,33.7868562859078,-118.296405322263,KAISER PERMANENTE HARBOR CITY CERTIFIED FARMERS' MARKET ,25825 VERMONT AVE,LOS ANGELES,90710,Y,6471600.91166456,1744945.09011115
51,34.2198164886613,-118.4301135,KAISER PERMANENTE PANORAMA CITY CERTIFIED FARMERS' MARKET,13652 CANTARA ST,PANORAMA CITY,91402,Y,6431645.08343989,1902653.91708131
52,34.0377936645214,-118.375433671505,KAISER PERMANENTE WEST LOS ANGELES CERTIFIED FARMERS' MARKET,6041 CADILLAC AVE,LOS ANGELES,90034,Y,6447927.55054681,1836346.65566723
53,34.047387,-118.249632,HISTORIC DOWNTOWN LOS ANGELES FARMERS' MARKET,FIFTH ST AND SPRING ST,LOS ANGELES,90013,Y,6486049.46970963,1839719.34544414
54,34.1702957041376,-118.588170004875,KAISER PERMANENTE WOODLAND HILLS CERTIFIED FARMERS' MARKET,5601 DE SOTO AVE,WOODLAND HILLS,91367,Y,6383758.90755889,1884874.73676048
55,34.2078227829363,-118.20766302943,LA CANADA CERTIFIED FARMERS' MARKET,1346 FOOTHILL BLVD,LA CANADA FLINTRIDGE,91011,Y,6498883.70453981,1898075.86094873
56,34.0441626660802,-118.376835986005,LA CIENEGA FARMERS' MARKET,1835 LA CIENEGA BLVD,LOS ANGELES,90035,Y,6447511.39160222,1838666.03390248
57,33.9052142506812,-118.011666982399,LA MIRADA  FARMERS' MARKET,13810 LA MIRADA BLVD,LA MIRADA,90639,Y,6558130.06767413,1787885.97798248
58,34.0562757917328,-118.206477366189,LAC + USC MEDICAL CENTER FARMERS' MARKET,2051 MARENGO STREET,LOS ANGELES,90033,,6499128.90221214,1842924.48404698
59,34.6975164322922,-118.14380351663,LANCASTER FARMERS' MARKET,758 W LANCASTER BLVD,LANCASTER,93534,Y,6518446.47217272,2076252.41404372
60,33.861339,-118.281473005338,KAISER PERMANENTE CARSON FARMERS' MARKET,18600 S FIGUEROA ST,GARDENA,90249,Y,6476214.32336947,1772038.16158105
61,34.6124652695324,-117.825908413254,LAKE LOS ANGELES  FARMERS' MARKET,40181 171ST ST E,PALMDALE,93591,,6614051.65891472,2045314.27546081
62,33.8047746391887,-118.319876377114,LOMITA CERTIFIED FARMERS' MARKET PROGRAM,24300 NARBONNE AVE,LOMITA,90717,Y,6464489.47706856,1751487.90314098
63,34.0748579650297,-118.323659847106,LARCHMONT VILLAGE CERTIFIED FARMERS' MARKET,209 N LARCHMONT BLVD,LOS ANGELES,90004,Y,6463656.51580797,1849780.45721164
64,34.0736187043014,-118.213022828848,LINCOLN HEIGHTS CERTIFIED FARMERS' MARKET,2800 N BROADWAY ,LOS ANGELES,90031,Y,6497159.67714797,1849240.0258778
65,34.019127,-117.95022,LA PUENTE LIVE CERTIFIED FARMERS' MARKET,CENTRAL AVE AND S STIMSON AVE,LA PUENTE,91744,,6576755.2810798,1829344.81041898
66,33.7644628673836,-118.126865857535,LONG BEACH MARINE STADIUM CERTIFIED FARMERS' MARKET,5255 PAOLI WAY,LONG BEACH,90803,,6523108.9690813,1736687.02526248
67,33.7528925802939,-118.108132046986,LONG BEACH SOUTHEAST CERTIFIED FARMERS' MARKET,6602 E MARINA DR,LONG BEACH,90803,Y,6528798.65356806,1732469.60489155
68,34.0533379878236,-118.242402487824,LOS ANGELES CITY HALL CERTIFIED FARMERS' MARKET PROGRAM,201 N MAIN ST,LOS ANGELES,90026,Y,6488244.71991231,1841879.65969306
69,34.0255995323668,-118.275066776185,LOS ANGELES FLOWER ON 28TH ST. CERTIFIED FARMERS' MARKET PROGRAM,434 W 28TH ST,LOS ANGELES,90007,,6478322.84900805,1831810.59518556
70,33.84261,-118.18521,LONG BEACH UPTOWN CERTIFIED FARMERS' MARKET,ATLANTIC AVE AND 46TH ST,LONG BEACH,90807,Y,6505427.45260714,1765154.37515181
71,33.771744,-118.190538,LONG BEACH DOWNTOWN FARMERS' MARKET,E 4TH ST AND THE PROMENADE N ,LONG BEACH,90802,Y,6503760.61014031,1739367.39030856
72,33.927651,-118.2030255,LYNWOOD FARMERS' MARKET,11301 BULLIS RD,LYNWOOD,90262,Y,6500079.91835472,1796113.21546498
73,34.036170959069,-118.689849166596,MALIBU FARMERS' MARKET,23555 CIVIC CENTER WAY,MALIBU,90265,,6352668.15281139,1836260.89534006
74,34.0048118994937,-118.431142247836,MAR VISTA CERTIFIED FARMERS' MARKET,12198 VENICE BLVD,LOS ANGELES,90066,Y,6430998.48597981,1824411.75532448
75,33.9790712956986,-118.456652905965,MARINA DEL REY CERTIFIED FARMERS' MARKET,14101 PANAY WAY,MARINA DEL REY,90292,Y,6423224.13604297,1815078.45804623
76,34.2024809825149,-118.601538964309,MAIN ST CANOGA PARK FARMERS' MARKET,7248 OWENSMOUTH AVE,CANOGA PARK,91303,Y,6379785.16616255,1896611.2638123
77,34.0833833238792,-118.373477165965,MELROSE PLACE CERTIFIED FARMERS' MARKET,8400 MELROSE AVE,LOS ANGELES,90069,Y,6448581.94195455,1852935.2904689
78,33.886719,-118.409472,MANHATTAN BEACH CERTIFIED FARMERS' MARKET,13TH ST AND N MORNINGSIDE DR,MANHATTAN BEACH,90266,Y,6437391.26158005,1781408.04507223
79,34.0623894933931,-118.3535325,MIRACLE MILE FARMERS' MARKET,5700 WILSHIRE BLVD,LOS ANGELES,90036,,6454594.26490363,1845273.44194748
80,34.1444509730798,-118.000907462578,MONROVIA STREET FAIR AND CERTIFIED FARMERS' MARKET,700 S MYRTLE AVE,MONROVIA,91016,Y,6561395.76553905,1874948.85667789
81,34.0411309952681,-118.12802197787,MONTEREY PARK CERTIFIED FARMERS' MARKET,1950 WILCOX AVE,MONTEREY PARK,91755,Y,6522885.79400273,1837373.46168448
82,34.2054429104546,-118.228080232197,MONTROSE HARVEST MARKET CERTIFIED FARMERS' MARKET,2300 HONOLULU AVE,MONTROSE,91020,Y,6492708.63552514,1897223.1644914
83,34.0099919286458,-118.107991083963,MONTEBELLO FARMERS' MARKET,777 W WHITTIER BLVD,MONTEBELLO,90640,Y,6528942.02270389,1826034.21697456
84,34.043067,-117.8476605,MOUNT SAN ANTONIO COLLEGE FARMERS' MARKET,GRAND AVE AND TEMPLE AVE,WALNUT,91789,,6607820.87446031,1838088.28965114
85,34.029243,-118.4107185,MOTOR AVENUE FARMERS' MARKET,MOTOR AVE AND NATIONAL BLVD,LOS ANGELES,90034,,6437224.86886822,1833276.72873622
86,34.168104,-118.377378,NORTH HOLLYWOOD/NOHO FARMERS' MARKET,BAKMAN AVE AND CHANDLER BLVD,NORTH HOLLYWOOD,91601,Y,6447516.53102763,1883770.90563481
87,33.915762,-118.07249451812,NORWALK CERTIFIED FARMERS' MARKET,12700 NORWALK BLVD,NORWALK,90650,Y,6539675.05865248,1791732.27179906
88,34.237512,-118.553586521034,NORTHRIDGE CERTIFIED FARMERS' MARKET AND FAMILY FESTIVAL,9301 TAMPA AVE,NORTHRIDGE,91324,Y,6394354.43065913,1909276.18008348
89,34.3819015248427,-118.530360651653,OLD TOWN NEWHALL CERTIFIED FARMERS' MARKET,24500 MAIN ST,SANTA CLARITA,91321,Y,6401651.39441164,1961783.64724681
90,34.3245001838815,-118.445665976138,OLIVE VIEW MEDICAL CENTER CERTIFIED FARMERS' MARKET,14445 OLIVE VIEW DR,SYLMAR,91342,Y,6427112.4366653,1940770.33887981
91,34.110063,-118.191852,OLD LOS ANGELES/HIGHLAND PARK CERTIFIED FARMERS' MARKET,N FIGUEROA ST AND AVENUE 58,LOS ANGELES,90042,Y,6503596.2403903,1862489.85633348
92,34.047387,-118.5258015,PACIFIC PALISADES CERTIFIED FARMERS' MARKET,N SWARTHMORE AVE AND SUNSET BLVD,PACIFIC PALISADES,90272,Y,6402390.16688421,1840042.03607173
93,33.9027242956986,-118.1600399679,PARAMOUNT FARMERS' MARKET,14400 PARAMOUNT BLVD,PARAMOUNT,90723,Y,6513105.68429789,1787018.27925856
94,33.7779022059275,-118.374561933702,PALOS VERDES CERTIFIED FARMERS' MARKET,27118 SILVER SPUR RD,ROLLING HILLS ESTATES,90274,Y,6447839.21903056,1741765.73590556
95,34.1460953881757,-118.101541009494,PASADENA VICTORY PARK CERTIFIED FARMERS' MARKET,2925 N SIERRA MADRE BLVD,PASADENA,91107,Y,6530946.84677821,1875562.80492505
96,34.1541919407057,-118.142982513186,PASADENA VILLA PARKE CERTIFIED FARMERS' MARKET,363 E VILLA ST,PASADENA,91101,Y,6518411.99389522,1878524.53620631
97,33.99147554028,-118.090733136044,PICO RIVERA CERTIFIED FARMERS' MARKET,6016 ROSEMEAD BLVD,PICO RIVERA,90660,,6534166.21960455,1819290.55624931
98,33.9757050848566,-118.417152329322,PLAYA VISTA CERTIFIED FARMERS' MARKET,12775 W MILENNIUM DR,PLAYA VISTA,90094,Y,6435194.60783689,1813801.38120405
99,34.036515,-118.7084565,PEPPERDINE FARMER'S MARKET,24255 PACIFIC COAST HWY,MALIBU,90263,,6347031.70181397,1836425.30675665
100,34.0492901541867,-118.25292200837,PERSHING SQUARE CERTIFIED FARMERS' MARKET,532 S OLIVE ST,LOS ANGELES,90013,Y,6485054.57438973,1840414.42968389
101,33.8373467317517,-118.388211035316,REDONDO BEACH CERTIFIED FARMERS' MARKET,309 ESPLANADE,REDONDO BEACH,90277,,6443774.76357681,1763414.78315856
102,33.929829,-118.157607,RANCHO LOS AMIGOS NATIONAL REHABILITATION CENTER CERTIFIED FARMERS' MARKET,7601 E IMPERIAL HWY,DOWNEY,90242,,6513859.44164863,1796881.12140948
103,34.216776,-118.536098007703,RESEDA FARMERS' MARKET,8055 RESEDA BLVD,RESEDA,91335,Y,6399599.85914464,1901701.43145348
104,34.0848796312501,-118.067696315064,ROSEMEAD CERTIFIED FARMERS' MARKET,4343 ENCINITA AVE,ROSEMEAD,91770,Y,6541172.30959497,1853276.63853948
105,34.064514,-117.750429,POMONA VALLEY CERTIFIED FARMERS' MARKET,GAREY AVE AND PEARL ST,POMONA,91766,Y,6637257.26768714,1845952.13580006
106,34.1067085112814,-117.803565,SAN DIMAS CERTIFIED FARMERS' MARKET,245 E BONITA AVE,SAN DIMAS,91773,,6621134.11915922,1861271.78331031
107,33.8174520674164,-118.386024464934,RIVIERA VILLAGE CERTIFIED FARMERS' MARKET,1801 S ELENA AVE,REDONDO BEACH,90277,,6444410.99360356,1756172.0899668
108,34.4176278702173,-118.455216477492,SANTA CLARITA CANYON COUNTRY CERTIFIED FARMERS' MARKET,18410 SIERRA HWY,SANTA CLARITA,91351,Y,6424382.39849022,1974673.89607257
109,34.404021,-118.569906,SANTA CLARITA CERTIFIED FARMERS' MARKET ,26455 ROCKWELL CANYON RD,SANTA CLARITA,91355,Y,6389765.64423305,1969898.53620073
110,34.002297,-118.483929,SANTA MONICA CERTIFIED FARMERS' MARKET - MAIN ST,MAIN ST AND OCEAN PARK BLVD,SANTA MONICA,90405,Y,6414995.43268414,1823569.36560506
111,33.738768,-118.2857085,SAN PEDRO CERTIFIED FARMERS' MARKET,W 6TH ST AND S MESA ST,SAN PEDRO,90731,Y,6474801.63032871,1727435.02047256
112,34.016994,-118.497699,SANTA MONICA CERTIFIED FARMERS' MARKET - DOWNTOWN ,ARIZONA AVE AND 3RD ST,SANTA MONICA,90401,Y,6410848.37437722,1828938.21543165
113,34.068375,-118.233513,LOS ANGELES RIVER FARMERS' MARKET,1245 N SPRING ST,LOS ANGELES,90017,Y,6490950.12329413,1847345.52933873
114,34.023069,-118.467549,SANTA MONICA CERTIFIED FARMERS' MARKET - PICO ,VIRGINIA AVE AND CLOVERFIELD AVE,SANTA MONICA,90405,Y,6419995.20122789,1831105.13760698
115,34.090571516764,-118.277991234953,SILVERLAKE CERTIFIED FARMERS' MARKET,3700 W SUNSET BLVD,LOS ANGELES,90026,Y,6477502.10688314,1855457.50622497
116,33.843542368659,-118.26309454331,SOUTH BAY PAVILION CERTIFIED FARMERS' MARKET,20700 AVALON BLVD,CARSON,90746,Y,6481777.11342497,1765546.42784539
117,34.0461569577663,-118.046856478117,SOUTH EL MONTE FARMERS' MARKET,1530 CENTRAL AVE,SOUTH EL MONTE,91733,,6547475.91772264,1839181.11915839
118,34.1151079936371,-118.157392424728,SOUTH PASADENA CERTIFIED FARMERS' MARKET,913 MERIDAN AVE,SOUTH PASADENA,91030,Y,6514030.10961439,1864307.70046681
119,33.941709,-118.18296,SOUTH GATE CERTIFIED FARMERS' MARKET,TWEEDY BLVD AND PINEHURST AVE,SOUTH GATE,90280,Y,6506176.35399647,1801217.53924581
120,34.1575845217557,-118.4378715,SHERMAN OAKS CERTIFIED FARMERS' MARKET,14006 RIVERSIDE DR,SHERMAN OAKS,91324,Y,6429201.1647713,1880016.91839215
121,34.1071471535285,-118.057863467396,TEMPLE CITY CERTIFIED FARMERS' MARKET,9701 LAS TUNAS DR,TEMPLE CITY,91780,Y,6544154.30067822,1861378.34772973
122,34.1982663452308,-118.632929774338,THE MARKET AT MALIBU WINES,23130 SHERMAN WAY,WEST HILLS,91307,,6370284.10412797,1895135.79465039
123,34.145001,-118.395792,STUDIO CITY CERTIFIED FARMERS' MARKET,VENTURA PL AND LAUREL CANYON BLVD,STUDIO CITY,91604,Y,6441913.36703713,1875384.79018922
124,33.9790287043014,-118.03666034344,UPTOWN WHITTIER CERTIFIED FARMERS' MARKET,13018 PHILADELPHIA ST,WHITTIER,90602,Y,6550555.76687789,1814750.50693047
125,33.826923,-118.3258485,TORRANCE CERTIFIED FARMERS' MARKET,2200 CRENSHAW BLVD,TORRANCE,90501,Y,6462701.23622248,1759554.06778289
126,34.1446799045784,-118.75443189665,THE WHIZINS AGOURA HILLS CERTIFIED FARMERS' MARKET,28914 ROADSIDE DR,AGOURA HILLS,91301,Y,6333398.38360822,1875888.81083472
127,34.1398101969971,-118.677063901973,THE OAKS IN CALABASAS CERTIFIED FARMERS' MARKET,25464 PRADO DE LAS FLORES,CALABASAS,91302,,6356795.6658818,1873949.98400372
128,33.987528,-118.466001,VENICE CERTIFIED FARMERS' MARKET,VENICE BLVD AND VENICE WAY,VENICE,90291,Y,6420404.30572464,1818169.00370239
129,34.004754,-118.23026650854,VERNON  FARMERS' MARKET,4305 S SANTA FE AVE,VERNON,90058,,6491880.29466213,1824190.38339189
130,34.0707968987245,-117.921409337382,WEST COVINA CERTIFIED FARMERS' MARKET,195 GLENDORA AVE,WEST COVINA,91790,Y,6585471.13044597,1848154.06840406
131,34.039810541751,-118.335114,WELLINGTON SQUARE CERTIFIED FARMER'S MARKET,4394 W WASHINGTON BLVD,LOS ANGELES,90016,Y,6460145.3489458,1837037.45874757
132,34.0460846011313,-118.449734213284,WEST LOS ANGELES CERTIFIED FARMERS' MARKET,11338 SANTA MONICA BLVD,LOS ANGELES,90025,Y,6425430.81699705,1839456.25541915
133,34.0620114479657,-118.446767259608,WESTWOOD VILLAGE CERTIFIED FARMERS' MARKET,1031 BROXTON AVE,WESTWOOD,90024,Y,6426355.36173588,1845248.27894007
134,33.9585357043014,-118.39354875,WESTCHESTER TRIANGLE FARMERS' MARKET,6200 W 87TH ST,WESTCHESTER,90045,Y,6442326.43773331,1807524.26646173
135,33.7748288304287,-118.276413083532,WILMINGTON CERTIFIED FARMERS' MARKET,470 HAWAIIAN AVE,WILMINGTON,90744,Y,6477663.9517038,1740550.66582914
136,33.9790459680595,-118.032282476686,WHITTIER COLLEGE FARMERS' MARKET,13406 E PHILADELPHIA ST,WHITTIER,90602,,6551883.03784539,1814756.33467473
137,34.020459,-118.2810105,USC HOSPITALITY CERTIFIED FARMERS' MARKET PROGRAM,S FIGUEROA ST AND USC MCCARTHY WAY,LOS ANGELES,90089,Y,6476516.62657064,1829944.84169923
138,34.1733101097287,-118.594014040106,WARNER CENTER FARMER'S MARKET,21255 BURBANK BLVD,WOODLAND HILLS,91326,Y,6381997.68929656,1885982.10987382
139,34.173324,-118.61452149951,WOODLAND HILLS FARMER'S MARKET,5650 SHOUP AVE,WOODLAND HILLS,91335,Y,6375794.86246338,1886024.45362115
